symbol,fiscal_year,metric,z_score,direction,method,flagged_at
ADANIPOWER,2024.0,net_profit,2.591,spike,zscore,2026-05-31
ADANIPOWER,2024.0,operating_profit,2.519,spike,zscore,2026-05-31
AXISBANK,2024.0,net_profit,2.686,spike,zscore,2026-05-31
BAJAJ-AUTO,2024.0,operating_profit,2.694,spike,zscore,2026-05-31
BAJAJHLDNG,2024.0,sales,2.996,spike,zscore,2026-05-31
BAJAJHLDNG,2024.0,net_profit,2.566,spike,zscore,2026-05-31
BAJAJHLDNG,2024.0,operating_profit,3.073,spike,zscore,2026-05-31
BHARTIARTL,2020.0,net_profit,-2.718,drop,zscore,2026-05-31
BHEL,2013.0,operating_profit,2.534,spike,zscore,2026-05-31
BPCL,2024.0,operating_profit,2.874,spike,zscore,2026-05-31
HDFCBANK,2024.0,sales,2.536,spike,zscore,2026-05-31
HDFCBANK,2024.0,operating_profit,2.919,spike,zscore,2026-05-31
JSWENERGY,2024.0,operating_profit,2.693,spike,zscore,2026-05-31
JSWSTEEL,2022.0,net_profit,2.684,spike,zscore,2026-05-31
NAUKRI,2022.0,net_profit,3.151,spike,zscore,2026-05-31
TATAMOTORS,2024.0,sales,2.508,spike,zscore,2026-05-31
TATAMOTORS,2024.0,operating_profit,2.572,spike,zscore,2026-05-31
TATASTEEL,2022.0,net_profit,2.669,spike,zscore,2026-05-31
TRENT,2024.0,sales,2.636,spike,zscore,2026-05-31
TRENT,2024.0,net_profit,3.019,spike,zscore,2026-05-31
TRENT,2024.0,operating_profit,2.648,spike,zscore,2026-05-31
UNITDSPR,2014.0,net_profit,-2.777,drop,zscore,2026-05-31
UNITDSPR,2014.0,operating_profit,-2.864,drop,zscore,2026-05-31
BAJAJ-AUTO,2025.0,borrowings,3.132,spike,zscore,2026-05-31
DIVISLAB,2019.0,borrowings,2.577,spike,zscore,2026-05-31
NESTLEIND,2014.0,borrowings,3.027,spike,zscore,2026-05-31
VEDL,2013.0,borrowings,-2.86,drop,zscore,2026-05-31
BANKBARODA,,multi-metric,,anomaly,isolation_forest,2026-05-31
HDFCBANK,,multi-metric,,anomaly,isolation_forest,2026-05-31
ICICIBANK,,multi-metric,,anomaly,isolation_forest,2026-05-31
IRFC,,multi-metric,,anomaly,isolation_forest,2026-05-31
LICI,,multi-metric,,anomaly,isolation_forest,2026-05-31
ONGC,,multi-metric,,anomaly,isolation_forest,2026-05-31
PFC,,multi-metric,,anomaly,isolation_forest,2026-05-31
RELIANCE,,multi-metric,,anomaly,isolation_forest,2026-05-31
SBIN,,multi-metric,,anomaly,isolation_forest,2026-05-31
UNIONBANK,,multi-metric,,anomaly,isolation_forest,2026-05-31
